PRDM9Expression	numPRDM9MotifInPeaks
SKCM_TCGA-DA-A95Y-06A	0	92810
SKCM_TCGA-EB-A24C-01A	7.32427983326508	95404
SKCM_TCGA-EB-A3XF-01A	0	70561
SKCM_TCGA-EB-A3Y6-01A	0	69082
SKCM_TCGA-EB-A5KH-06A	0	95009
SKCM_TCGA-EB-A5SH-06A	0	91436
SKCM_TCGA-XV-AAZY-01A	0	94268
STAD_TCGA-BR-A4CR-01A	7.01503334458572	114871
STAD_TCGA-BR-A4CS-01A	0	104972
STAD_TCGA-BR-A4J4-01A	0	111122
STAD_TCGA-BR-A4J5-01A	7.35865873250169	116181
STAD_TCGA-BR-A4J6-01A	0	112261
STAD_TCGA-BR-A4J7-01A	0	113252
STAD_TCGA-BR-A4J9-01A	7.54523848953643	108214
STAD_TCGA-BR-A4QL-01A	0	69547
STAD_TCGA-CD-A486-01A	8.9406041683012	114332
STAD_TCGA-CD-A48C-01A	13.6915909485567	109052
STAD_TCGA-D7-A4YX-01A	0	97304
STAD_TCGA-D7-A6EZ-01A	0	102912
STAD_TCGA-HF-A5NB-01A	0	110929
STAD_TCGA-VQ-A8PJ-01A	9.70172271411383	119043
STAD_TCGA-VQ-A91E-01A	6.04645674579429	111504
STAD_TCGA-VQ-A94O-01A	10.0534595188454	118472
TGCT_TCGA-2G-AAFM-01A	10.8226282642215	112353
TGCT_TCGA-2G-AAFO-01A	10.3378310630611	112921
TGCT_TCGA-2G-AAGS-01A	8.05837731969761	109915
TGCT_TCGA-2G-AAH8-01A	8.50919860524187	108446
TGCT_TCGA-2G-AAKG-05A	8.67893618240802	107797
TGCT_TCGA-4K-AA1I-01A	8.19930389866984	106781
TGCT_TCGA-XE-AANI-01A	0	93593
TGCT_TCGA-XE-AAOD-01A	8.5801066307378	108426
TGCT_TCGA-XE-AAOF-01A	9.40115316889235	107838
THCA_TCGA-4C-A93U-01A	0	99520
THCA_TCGA-BJ-A0Z0-01A	0	98534
THCA_TCGA-BJ-A0Z2-01A	0	97377
THCA_TCGA-BJ-A0Z3-01A	0	102608
THCA_TCGA-BJ-A0Z5-01A	0	100219
THCA_TCGA-BJ-A0ZA-01A	6.68790712967307	97819
THCA_TCGA-BJ-A0ZC-01A	6.92461996249937	97624
THCA_TCGA-BJ-A192-01A	0	98365
THCA_TCGA-BJ-A290-01A	0	101385
THCA_TCGA-BJ-A3PU-01A	0	102059
THCA_TCGA-CE-A13K-01A	0	100327
THCA_TCGA-DJ-A13M-01A	0	102576
THCA_TCGA-DJ-A13V-01A	0	102582
THCA_TCGA-DJ-A13X-01A	0	102147
UCEC_TCGA-AP-A051-01A	0	99026
UCEC_TCGA-B5-A0JN-01A	7.56494638962378	111756
UCEC_TCGA-B5-A0JT-01A	0	96647
UCEC_TCGA-B5-A0K9-01A	0	105932
UCEC_TCGA-B5-A11Y-01A	0	107046
UCEC_TCGA-BG-A0M8-01A	0	107792
UCEC_TCGA-BG-A0MH-01A	0	104656
UCEC_TCGA-BG-A0MK-01A	0	112943
UCEC_TCGA-BG-A0MS-01A	9.6463963592594	112738
UCEC_TCGA-BG-A0RY-01A	0	108831
UCEC_TCGA-BK-A0C9-01A	0	110597
UCEC_TCGA-BK-A13B-01A	0	103653
