ID	numPRDM9MotifInPeaks
LGGx_TCGA-DU-6407-02B	103088
LGGx_TCGA-E1-A7YI-01A	104377
LGGx_TCGA-F6-A8O3-01A	100479
LGGx_TCGA-FG-A4MU-01B	103226
LGGx_TCGA-FG-A4MY-01A	99818
LGGx_TCGA-P5-A72W-01A	102595
LGGx_TCGA-P5-A72X-01A	81546
LGGx_TCGA-P5-A735-01A	98525
LGGx_TCGA-P5-A77X-01A	101782
LGGx_TCGA-W9-A837-01A	94035
LIHC_TCGA-BC-A10S-01A	102790
LIHC_TCGA-BC-A10T-01A	92232
LIHC_TCGA-BC-A10U-01A	104396
LIHC_TCGA-BC-A10W-01A	101695
LIHC_TCGA-BC-A10X-01A	106742
LIHC_TCGA-BC-A3KF-01A	103397
LIHC_TCGA-BC-A5W4-01A	105277
LIHC_TCGA-BC-A8YO-01A	100051
LIHC_TCGA-CC-A123-01A	100730
LIHC_TCGA-CC-A7IF-01A	101532
LIHC_TCGA-DD-AAC8-01A	103236
LIHC_TCGA-DD-AACB-01A	107669
LIHC_TCGA-DD-AACI-01A	101050
LIHC_TCGA-DD-AACL-01A	103790
LIHC_TCGA-G3-AAV0-01A	93012
LIHC_TCGA-LG-A9QC-01A	99402
LIHC_TCGA-LG-A9QD-01A	104035
LUAD_TCGA-44-3918-01A	122880
LUAD_TCGA-44-6146-01A	115183
LUAD_TCGA-44-A47F-01A	116510
LUAD_TCGA-49-AARO-01A	113264
LUAD_TCGA-4B-A93V-01A	118114
LUAD_TCGA-73-A9RS-01A	109730
LUAD_TCGA-86-A4D0-01A	112892
LUAD_TCGA-86-A4P7-01A	117348
LUAD_TCGA-86-A4P8-01A	116002
LUAD_TCGA-91-A4BC-01A	121389
LUAD_TCGA-91-A4BD-01A	119442
LUAD_TCGA-93-A4JN-01A	120243
LUAD_TCGA-93-A4JO-01A	116122
LUAD_TCGA-93-A4JQ-01A	119364
LUAD_TCGA-L4-A4E6-01A	120317
LUAD_TCGA-L9-A8F4-01A	118947
LUAD_TCGA-MP-A4SV-01A	121493
LUAD_TCGA-MP-A4T4-01A	117401
LUAD_TCGA-MP-A4T7-01A	117322
LUAD_TCGA-MP-A4TE-01A	118585
LUAD_TCGA-MP-A4TF-01A	122628
LUAD_TCGA-NJ-A4YG-01A	118203
LUSC_TCGA-33-A4WN-01A	114585
LUSC_TCGA-37-A5EM-01A	112853
LUSC_TCGA-63-A5MR-01A	102805
LUSC_TCGA-77-A5G6-01A	115082
LUSC_TCGA-85-A4CL-01A	112352
LUSC_TCGA-85-A4CN-01A	111111
LUSC_TCGA-85-A4JB-01A	96066
LUSC_TCGA-85-A4QR-01A	109855
LUSC_TCGA-85-A50M-01A	104103
LUSC_TCGA-85-A512-01A	108312
LUSC_TCGA-98-A53A-01A	115615
LUSC_TCGA-98-A53J-01A	115667
LUSC_TCGA-J1-A4AH-01A	113702
LUSC_TCGA-MF-A522-01A	104196
LUSC_TCGA-O2-A52N-01A	102490
LUSC_TCGA-XC-AA0X-01A	112240
MESO_TCGA-3U-A98E-01A	89603
MESO_TCGA-3U-A98I-01A	94045
MESO_TCGA-LK-A4NW-01A	89742
MESO_TCGA-LK-A4NY-01A	93401
MESO_TCGA-LK-A4O6-01A	77259
MESO_TCGA-MQ-A4KX-01A	90954
MESO_TCGA-SH-A9CU-01A	93893
PCPG_TCGA-QT-A5XJ-01A	98072
PCPG_TCGA-QT-A5XM-01A	101790
PCPG_TCGA-QT-A5XN-01A	102921
PCPG_TCGA-QT-A69Q-01A	101467
PCPG_TCGA-RM-A68W-01A	105007
PCPG_TCGA-RT-A6YA-01A	99980
PCPG_TCGA-RW-A8AZ-01A	102356
PCPG_TCGA-TT-A6YP-01A	103837
PCPG_TCGA-WB-A818-01A	99276
PRAD_TCGA-EJ-7218-01B	109402
PRAD_TCGA-EJ-7318-01B	112360
PRAD_TCGA-EJ-A46B-01A	112523
PRAD_TCGA-EJ-A46D-01A	112532
PRAD_TCGA-EJ-A46E-01A	116192
PRAD_TCGA-EJ-A46F-01A	108188
PRAD_TCGA-EJ-A46G-01A	109407
PRAD_TCGA-EJ-A46H-01A	113400
PRAD_TCGA-EJ-A65B-01A	108508
PRAD_TCGA-EJ-A65F-01A	114604
PRAD_TCGA-EJ-A7NG-01A	111954
PRAD_TCGA-EJ-A7NM-01A	103371
PRAD_TCGA-EJ-A8FN-01A	108263
PRAD_TCGA-EJ-A8FP-01A	113854
PRAD_TCGA-KC-A4BV-01A	111666
PRAD_TCGA-SU-A7E7-01A	109134
PRAD_TCGA-VN-A88K-01A	109312
PRAD_TCGA-VP-A875-01A	112687
PRAD_TCGA-YL-A8HJ-01A	113876
PRAD_TCGA-YL-A8SB-01A	112419
PRAD_TCGA-YL-A8SL-01B	106771
PRAD_TCGA-YL-A8SP-01B	100517
PRAD_TCGA-YL-A9WK-01A	108960
PRAD_TCGA-ZG-A9L0-01A	109625
PRAD_TCGA-ZG-A9L1-01A	108154
PRAD_TCGA-ZG-A9L2-01A	106668
SKCM_TCGA-D3-A8GM-06A	95367
SKCM_TCGA-D3-A8GP-06A	97686
SKCM_TCGA-D9-A1JW-06A	95767
SKCM_TCGA-D9-A6EA-06A	98053
SKCM_TCGA-D9-A6EC-06A	94919
SKCM_TCGA-DA-A95W-06A	93383
SKCM_TCGA-DA-A95Y-06A	92810
SKCM_TCGA-EB-A24C-01A	95404
SKCM_TCGA-EB-A3XF-01A	70561
SKCM_TCGA-EB-A3Y6-01A	69082
SKCM_TCGA-EB-A5KH-06A	95009
SKCM_TCGA-EB-A5SH-06A	91436
SKCM_TCGA-XV-AAZY-01A	94268
STAD_TCGA-BR-A452-01A	115695
STAD_TCGA-BR-A4CR-01A	114871
STAD_TCGA-BR-A4CS-01A	104972
STAD_TCGA-BR-A4IY-01A	115554
STAD_TCGA-BR-A4J1-01A	116711
STAD_TCGA-BR-A4J2-01A	117700
STAD_TCGA-BR-A4J4-01A	111122
STAD_TCGA-BR-A4J5-01A	116181
STAD_TCGA-BR-A4J6-01A	112261
STAD_TCGA-BR-A4J7-01A	113252
STAD_TCGA-BR-A4J9-01A	108214
STAD_TCGA-BR-A4QL-01A	69547
STAD_TCGA-CD-A486-01A	114332
STAD_TCGA-CD-A48C-01A	109052
STAD_TCGA-D7-A4YX-01A	97304
STAD_TCGA-D7-A6EZ-01A	102912
STAD_TCGA-HF-A5NB-01A	110929
STAD_TCGA-VQ-A8PJ-01A	119043
STAD_TCGA-VQ-A91E-01A	111504
STAD_TCGA-VQ-A91W-01A	105203
STAD_TCGA-VQ-A94O-01A	118472
TGCT_TCGA-2G-AAFM-01A	112353
TGCT_TCGA-2G-AAFO-01A	112921
TGCT_TCGA-2G-AAGS-01A	109915
TGCT_TCGA-2G-AAH8-01A	108446
TGCT_TCGA-2G-AAKG-05A	107797
TGCT_TCGA-4K-AA1I-01A	106781
TGCT_TCGA-XE-AANI-01A	93593
TGCT_TCGA-XE-AAOD-01A	108426
TGCT_TCGA-XE-AAOF-01A	107838
THCA_TCGA-4C-A93U-01A	99520
THCA_TCGA-BJ-A0Z0-01A	98534
THCA_TCGA-BJ-A0Z2-01A	97377
THCA_TCGA-BJ-A0Z3-01A	102608
THCA_TCGA-BJ-A0Z5-01A	100219
THCA_TCGA-BJ-A0ZA-01A	97819
THCA_TCGA-BJ-A0ZC-01A	97624
THCA_TCGA-BJ-A192-01A	98365
THCA_TCGA-BJ-A290-01A	101385
THCA_TCGA-BJ-A3PU-01A	102059
THCA_TCGA-CE-A13K-01A	100327
THCA_TCGA-DJ-A13M-01A	102576
THCA_TCGA-DJ-A13V-01A	102582
THCA_TCGA-DJ-A13X-01A	102147
UCEC_TCGA-AP-A051-01A	99026
UCEC_TCGA-B5-A0JN-01A	111756
UCEC_TCGA-B5-A0JT-01A	96647
UCEC_TCGA-B5-A0K9-01A	105932
UCEC_TCGA-B5-A0KB-01A	83749
UCEC_TCGA-B5-A11Y-01A	107046
UCEC_TCGA-BG-A0M8-01A	107792
UCEC_TCGA-BG-A0MH-01A	104656
UCEC_TCGA-BG-A0MK-01A	112943
UCEC_TCGA-BG-A0MS-01A	112738
UCEC_TCGA-BG-A0RY-01A	108831
UCEC_TCGA-BK-A0C9-01A	110597
UCEC_TCGA-BK-A13B-01A	103653
